"language","cld2","cld3","langdetect","langid","lingua-afrikaans-detector","lingua-albanian-detector","lingua-arabic-detector","lingua-armenian-detector","lingua-azerbaijani-detector","lingua-basque-detector","lingua-belarusian-detector","lingua-bengali-detector","lingua-bokmal-detector","lingua-bosnian-detector","lingua-bulgarian-detector","lingua-catalan-detector","lingua-chinese-detector","lingua-croatian-detector","lingua-czech-detector","lingua-danish-detector","lingua-dutch-detector","lingua-english-detector","lingua-esperanto-detector","lingua-estonian-detector","lingua-finnish-detector","lingua-french-detector","lingua-ganda-detector","lingua-georgian-detector","lingua-german-detector","lingua-greek-detector","lingua-gujarati-detector","lingua-hebrew-detector","lingua-high-accuracy","lingua-hindi-detector","lingua-hungarian-detector","lingua-icelandic-detector","lingua-indonesian-detector","lingua-irish-detector","lingua-italian-detector","lingua-japanese-detector","lingua-kazakh-detector","lingua-korean-detector","lingua-latin-detector","lingua-latvian-detector","lingua-lithuanian-detector","lingua-low-accuracy","lingua-macedonian-detector","lingua-malay-detector","lingua-maori-detector","lingua-marathi-detector","lingua-mongolian-detector","lingua-nynorsk-detector","lingua-persian-detector","lingua-polish-detector","lingua-portuguese-detector","lingua-punjabi-detector","lingua-romanian-detector","lingua-russian-detector","lingua-serbian-detector","lingua-shona-detector","lingua-slovak-detector","lingua-slovene-detector","lingua-somali-detector","lingua-sotho-detector","lingua-spanish-detector","lingua-swahili-detector","lingua-swedish-detector","lingua-tagalog-detector","lingua-tamil-detector","lingua-telugu-detector","lingua-thai-detector","lingua-tsonga-detector","lingua-tswana-detector","lingua-turkish-detector","lingua-ukrainian-detector","lingua-urdu-detector","lingua-vietnamese-detector","lingua-welsh-detector","lingua-xhosa-detector","lingua-yoruba-detector","lingua-zulu-detector","simplemma"
"Croatian","51.03333333333334","42.23333333333333","72.56666666666666","47.86666666666666","79.10000000000001","79","100","100","85.33333333333334","77.03333333333333","100","100","82.03333333333333","35.86666666666666","100","61.33333333333333","100","67.63333333333334","55.73333333333333","81.19999999999999","81.13333333333334","68.4","54.1","63.8","79.1","70.96666666666667","73.7","100","82.39999999999999","100","100","100","72.7","100","83.36666666666666","79.4","66.76666666666668","95.63333333333333","61.16666666666667","100","100","100","68.2","82.63333333333334","64.83333333333333","59.73333333333333","100","68.19999999999999","74.83333333333334","100","100","73.53333333333333","100","61.9","61.90000000000001","100","59.86666666666667","100","100","69.2","44.43333333333333","38.66666666666666","81.86666666666666","75.66666666666667","64.83333333333333","63.6","80.93333333333334","67.43333333333334","100","100","100","72.56666666666666","83.86666666666667","69.80000000000001","100","100","96.13333333333333","93.53333333333332","82.10000000000001","71.33333333333334","77.83333333333333","NaN"
"Czech","73.63333333333334","64.1","70.83333333333334","66.43333333333334","80.5","90.93333333333332","100","100","96","86.46666666666668","100","100","81.16666666666667","60.3","100","69.7","100","65","73.70000000000002","79.93333333333334","79.39999999999999","70.36666666666667","62.73333333333334","74.39999999999999","81.36666666666666","79.63333333333334","88.49999999999999","100","78.40000000000002","100","100","100","80.36666666666666","100","84.86666666666667","84.66666666666667","78.39999999999999","92.93333333333332","69.33333333333334","100","100","100","77","95.1","83.43333333333334","73.3","100","79.53333333333333","90.5","100","100","75.16666666666666","100","70.83333333333334","74.66666666666667","100","70.3","100","100","87.83333333333333","49.53333333333333","58.16666666666666","94.2","85.76666666666667","74.56666666666666","85.1","81.23333333333332","87.4","100","100","100","86.2","91.43333333333334","85.8","100","100","93.1","96.7","89.16666666666666","84.50000000000001","88.46666666666665","50.16666666666666"
"Danish","59","58.46666666666667","70.76666666666668","59.8","40.93333333333334","77.93333333333334","100","100","75.06666666666666","68.53333333333333","100","100","25","81.36666666666667","100","61.46666666666666","100","81.7","74.96666666666667","81.5","41.96666666666666","44.66666666666667","62.6","64.3","59.466666666666654","58.766666666666666","90.26666666666668","100","39.53333333333333","100","100","100","81.06666666666666","100","64.86666666666666","60.53333333333333","57.8","91.63333333333334","60.43333333333333","100","100","100","64.03333333333333","88.7","83.76666666666667","70.06666666666666","100","57.36666666666667","66.46666666666667","100","100","30.000000000000004","100","86.03333333333333","68.53333333333333","100","66.69999999999999","100","100","85.23333333333333","70.80000000000001","65.60000000000001","93.1","81.23333333333335","72.3","77.03333333333333","35.333333333333336","72.53333333333333","100","100","100","79.80000000000001","74.96666666666665","58.266666666666666","100","100","98.06666666666666","78.86666666666665","78.69999999999999","73.03333333333333","74.79999999999998","49.96666666666667"
"Dutch","47.400000000000006","57.66666666666666","58.2","64.1","33.43333333333333","78.39999999999999","100","100","82.10000000000001","73.76666666666667","100","100","39.266666666666666","75.13333333333333","100","64.13333333333333","100","73.66666666666667","70.73333333333332","37.56666666666668","75.23333333333333","47.2","59.8","67.96666666666667","54.63333333333333","63.53333333333333","87.9","100","36.86666666666667","99.96666666666668","100","99.96666666666668","77.36666666666667","100","73.16666666666669","62.83333333333333","61.33333333333333","77.56666666666666","58.00000000000001","99.96666666666668","100","99.96666666666668","63.9","75.9","77.83333333333333","63.76666666666667","100","61.43333333333333","71.43333333333334","100","100","43.36666666666667","100","77.99999999999999","65.53333333333335","100","58.86666666666667","100","100","69.83333333333333","61.50000000000001","67.16666666666666","77.66666666666667","74.96666666666667","66.86666666666666","71.63333333333334","45.96666666666667","72.33333333333333","100","100","100","76.10000000000001","78.73333333333333","60.86666666666666","100","100","91.73333333333332","83.56666666666666","79.23333333333332","64.53333333333333","73.93333333333332","58.333333333333336"
"English","55.56666666666666","54.3","59.86666666666666","84.6","53.53333333333333","81.63333333333333","100","100","80.36666666666666","74.00000000000001","100","100","49.46666666666668","71.60000000000001","100","45.766666666666666","100","66.1","70.43333333333334","43.06666666666667","51.73333333333333","71.63333333333334","52.866666666666674","68.9","74.03333333333335","48.1","86.76666666666665","100","54.06666666666668","100","100","100","80.9","100","77.73333333333333","60.633333333333326","55.7","60.66666666666667","45.73333333333333","100","100","100","49.99999999999999","83.46666666666667","72.03333333333333","62.36666666666667","100","55.43333333333334","64.60000000000001","100","100","49.46666666666666","100","79.46666666666667","52.7","100","46.900000000000006","100","100","82.10000000000001","65.3","64.46666666666667","92.13333333333333","80.60000000000001","51.16666666666667","60.16666666666667","45.96666666666666","66.56666666666666","100","100","100","76.36666666666666","81.46666666666667","73.33333333333333","100","100","94.7","85.69999999999999","85.23333333333335","71.43333333333334","68.86666666666666","64.76666666666667"
"Esperanto","50.13333333333333","57.23333333333333","NaN","43.5","72.76666666666665","78.40000000000002","99.96666666666668","100","79.86666666666666","73.86666666666667","100","100","67.16666666666667","55.53333333333333","100","46.8","100","58.13333333333334","59.7","65.23333333333333","71.5","58.16666666666666","72.76666666666665","63.03333333333333","71.86666666666666","53.56666666666666","75.30000000000001","100","74.06666666666666","99.96666666666668","100","100","83.56666666666666","100","82.53333333333333","69.53333333333335","60.4","90.26666666666668","49.00000000000001","100","100","100","50.4","84.2","62.29999999999999","68.6","100","62.03333333333333","71.16666666666667","100","100","61.066666666666656","100","67.33333333333333","47.7","100","52.56666666666667","100","100","74.5","54","55.83333333333332","82.83333333333334","78.73333333333333","48.06666666666666","72.13333333333334","67.66666666666667","67.66666666666667","100","100","100","76.86666666666667","82.76666666666665","65.86666666666666","100","100","91.06666666666668","94.63333333333334","81.86666666666666","75.16666666666666","78.26666666666667","NaN"
"Estonian","65.33333333333333","69.53333333333333","82.63333333333334","67.13333333333334","62.96666666666666","72.43333333333334","100","100","80.83333333333333","77.8","100","100","67.73333333333333","65.86666666666666","100","66.93333333333334","100","72.00000000000001","76.36666666666666","67.23333333333333","70.83333333333334","73.83333333333333","58.63333333333334","78.26666666666667","53.06666666666667","70.3","76.73333333333333","100","75.36666666666667","100","100","100","91.73333333333332","100","78.36666666666666","69.16666666666667","70.6","81.86666666666666","64.60000000000001","100","100","100","63.8","81.73333333333333","68.33333333333334","83.76666666666667","100","71.73333333333333","75.7","100","100","63.1","100","75.66666666666667","66.83333333333333","100","62.23333333333333","100","100","79.63333333333334","65.56666666666666","67.33333333333333","74.13333333333334","76.63333333333333","67.46666666666667","68.69999999999999","72.93333333333334","68.69999999999999","100","100","100","74.86666666666667","79.7","67.96666666666667","100","100","98.93333333333332","86.6","70.63333333333334","77.03333333333333","74.1","70.56666666666666"
"Finnish","76.86666666666667","80.46666666666665","93.16666666666666","82.93333333333334","64.46666666666665","65.26666666666667","100","100","86.33333333333333","82.49999999999999","100","100","56.89999999999999","58.633333333333326","100","62.23333333333333","100","65.96666666666667","69.46666666666667","65.13333333333333","60.26666666666666","74.43333333333334","52","43.5","85.76666666666667","67.76666666666667","80.36666666666666","100","67.03333333333333","100","100","100","95.96666666666667","100","69.39999999999999","64.46666666666665","70.06666666666666","80.39999999999999","54.50000000000001","100","100","100","64.03333333333333","71.53333333333333","55.1","91.13333333333333","100","73.96666666666665","78.39999999999999","100","100","52.36666666666666","100","71.13333333333333","63.53333333333333","100","63.83333333333333","100","100","77.63333333333333","64.49999999999999","65.10000000000001","70.53333333333333","81.8","63.366666666666674","75.7","62.03333333333333","70.46666666666667","100","100","100","76.6","84.9","70.4","100","100","97.6","80.13333333333334","73.3","72.56666666666666","77.43333333333334","75.73333333333335"
"French","46.43333333333333","55.03333333333333","74.76666666666667","71.30000000000001","68","84.6","100","100","88.26666666666667","77.43333333333334","100","100","62.1","72.43333333333334","100","31.9","100","67","75.73333333333333","49.89999999999999","72.83333333333334","35.63333333333333","45.766666666666666","66.1","67.23333333333333","74.86666666666667","88.76666666666667","100","59.93333333333333","100","100","100","89.4","100","81.16666666666667","78.96666666666667","65.26666666666667","74.79999999999998","39.400000000000006","100","100","100","43.53333333333333","77.36666666666667","62.33333333333333","77.13333333333333","100","65.43333333333334","83.7","100","100","62.26666666666667","100","76.46666666666667","38.7","100","46.63333333333333","100","100","83.6","64.43333333333334","68.46666666666667","90.36666666666667","85.2","38.73333333333333","72.56666666666666","55.766666666666666","77.83333333333333","100","100","100","74.73333333333333","85.33333333333334","79.19999999999999","100","100","93.93333333333334","85.4","88.89999999999999","78.36666666666666","91.06666666666668","65.06666666666668"
"Ganda","61.33333333333333","NaN","NaN","NaN","67.90000000000002","75.13333333333333","100","100","76.43333333333334","65.46666666666667","100","100","72.93333333333334","80.26666666666667","100","77.53333333333333","100","78.53333333333333","95.93333333333334","70.83333333333334","68.9","74.96666666666667","74.80000000000001","82.63333333333334","77.36666666666666","81.30000000000001","84.9","100","73.76666666666667","99.93333333333334","100","100","91.36666666666667","100","75.16666666666666","77.83333333333333","46.53333333333334","89.1","78.06666666666665","100","100","100","61.53333333333333","86.76666666666665","71.93333333333332","84.9","100","47.53333333333333","57.56666666666666","100","100","80.09999999999998","100","95.5","87.53333333333333","100","73.9","100","100","44.93333333333333","73.06666666666666","78.26666666666667","59.33333333333333","72.76666666666665","88.36666666666666","49.06666666666666","68.93333333333334","44.83333333333333","100","100","100","51.8","71.46666666666667","57.33333333333333","100","100","94.63333333333334","81.5","35.166666666666664","68.03333333333333","36.6","NaN"
"Georgian","100","98.5","NaN","98.93333333333332","99.63333333333333","99.73333333333332","100","99.96666666666668","99.83333333333334","99.63333333333333","100","100","99.5","99.7","100","99.36666666666666","100","99.79999999999998","99.63333333333333","99.5","99.53333333333332","99.03333333333336","99.43333333333334","99.7","99.7","99.5","99.79999999999998","100","99.4","100","100","100","99.96666666666667","100","99.79999999999998","99.73333333333332","99.5","99.5","99.33333333333331","100","100","99.96666666666668","99.23333333333332","99.93333333333334","99.6","99.86666666666667","100","99.5","99.63333333333333","100","100","99.43333333333334","100","99.83333333333334","99.5","100","99.5","99.96666666666668","99.96666666666668","99.7","99.7","99.7","99.83333333333334","99.66666666666669","99.43333333333334","99.63333333333333","99.5","99.56666666666666","100","100","100","99.7","99.63333333333333","99.73333333333332","99.96666666666668","100","99.79999999999998","99.93333333333334","99.83333333333334","99.66666666666669","99.7","4.466666666666667"
"German","63.73333333333333","66.5","73.03333333333333","80.69999999999999","45.63333333333333","75.73333333333333","100","100","83.23333333333332","68.93333333333334","100","100","35.99999999999999","77.3","100","64.2","100","79.66666666666667","69.03333333333333","35.43333333333333","32.13333333333333","48.7","58.73333333333333","62.23333333333333","56.766666666666666","63.3","91.06666666666668","100","83.56666666666666","100","100","100","89.19999999999999","100","67.26666666666667","58.833333333333336","62.89999999999999","70.6","52.76666666666666","100","100","100","65.13333333333334","79.80000000000001","73.36666666666667","80.13333333333334","100","63.23333333333333","74.56666666666666","100","100","40.63333333333334","100","77.20000000000002","65.26666666666667","100","65.2","100","100","80.16666666666666","75.23333333333333","71.26666666666667","94.7","76.83333333333334","65.63333333333333","80.63333333333334","42.56666666666666","80.83333333333334","100","100","100","78.76666666666667","81.26666666666665","62.8","100","100","95.73333333333332","85.76666666666667","77.7","76.16666666666667","77.93333333333334","71.63333333333334"
"Greek","100","99.86666666666667","99.96666666666668","100","98.9","99.63333333333333","100","100","99.63333333333333","99.36666666666666","100","100","98.83333333333331","99.3","100","98.63333333333334","100","99.43333333333334","99.33333333333331","98.8","99","97.86666666666667","98.7","99.1","99.06666666666666","98.76666666666668","99.63333333333333","100","99","100","100","100","99.96666666666667","100","99.23333333333332","99.3","98.86666666666667","99.4","98.4","100","100","100","98.8","99.73333333333332","99.16666666666669","100","100","98.96666666666664","99.2","100","100","98.56666666666666","100","99.4","98.8","100","98.8","100","100","99.7","99","98.93333333333332","99.66666666666669","99.56666666666666","98.76666666666668","99.13333333333334","99.03333333333336","99.4","100","100","100","99.66666666666669","99.53333333333332","99.5","100","100","99.86666666666667","99.56666666666666","98.8","99.66666666666669","98.8","75.43333333333334"
"Gujarati","99.96666666666668","99.6","99.96666666666668","100","99.13333333333334","99.4","100","100","99.33333333333331","99.13333333333334","100","100","98.86666666666667","99.23333333333332","100","98.66666666666669","100","99.06666666666666","99.26666666666664","98.66666666666669","98.93333333333332","98.23333333333332","98.76666666666668","99.26666666666664","99.4","98.96666666666664","99.53333333333332","100","98.8","100","100","100","99.96666666666667","99.96666666666668","99.6","98.96666666666664","99","99","98.6","100","100","100","98.9","99.7","99.3","100","100","99.06666666666666","99.2","99.96666666666668","100","98.73333333333332","100","99.33333333333331","98.56666666666666","100","98.56666666666666","100","100","99.33333333333331","99","99.06666666666666","99.73333333333332","99.36666666666666","98.56666666666666","98.9","98.86666666666667","99.06666666666666","100","100","100","99.1","99.5","99","100","100","99.86666666666667","99.76666666666668","99.56666666666666","99.23333333333332","99.36666666666666","NaN"
"Hebrew","NaN","NaN","99.93333333333334","99.83333333333334","99.33333333333331","99.5","100","100","99.76666666666668","99.56666666666666","100","100","99.26666666666664","99.53333333333332","100","99.13333333333334","100","99.7","99.7","99.26666666666664","99.36666666666666","98.93333333333332","99.23333333333332","99.3","99.4","99.33333333333331","99.86666666666667","100","99.3","99.93333333333334","100","100","99.86666666666667","100","99.86666666666667","99.36666666666666","99.23333333333332","99.56666666666666","99.16666666666669","100","100","100","99.26666666666664","99.9","99.6","99.93333333333334","100","99.26666666666664","99.43333333333334","100","100","99.13333333333334","100","99.63333333333333","99.13333333333334","100","99.26666666666664","100","100","99.73333333333332","99.4","99.53333333333332","99.83333333333334","99.73333333333332","99.2","99.66666666666669","99.16666666666669","99.46666666666668","100","100","100","99.63333333333333","99.76666666666668","99.53333333333332","100","100","99.79999999999998","99.76666666666668","99.76666666666668","99.63333333333333","99.63333333333333","NaN"
"Hindi","76.86666666666667","58.4","67.2","59.83333333333333","99.7","99.86666666666667","100","100","99.86666666666667","99.7","100","100","99.7","99.83333333333334","100","99.63333333333333","100","99.86666666666667","99.73333333333332","99.63333333333333","99.7","99.53333333333332","99.6","99.66666666666669","99.66666666666669","99.63333333333333","100","100","99.56666666666666","100","100","100","74.16666666666667","100","99.73333333333332","99.83333333333334","99.53333333333332","99.83333333333334","99.6","100","100","100","99.63333333333333","99.96666666666668","99.76666666666668","72.56666666666666","100","99.53333333333332","99.7","NaN","100","99.6","100","99.73333333333332","99.66666666666669","100","99.66666666666669","100","100","99.9","99.66666666666669","99.63333333333333","99.79999999999998","99.93333333333334","99.66666666666669","99.73333333333332","99.7","99.86666666666667","100","100","100","99.76666666666668","99.86666666666667","99.86666666666667","100","100","99.96666666666668","99.96666666666668","99.93333333333334","99.76666666666668","99.86666666666667","5.4"
